,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,5 - 1
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,1 - 1
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,1 - 1
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,1 - 1
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 2
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,3 - 4
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,0 - 2
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,2 - 1
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,0 - 0
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,2 - 1
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,2 - 1
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,2 - 6
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,3 - 1
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,2 - 0
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,2 - 1
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,0 - 1
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,2 - 0
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,5 - 0
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,1 - 2
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,1 - 1
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,3 - 4
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,1 - 0
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,1 - 4
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,1 - 2
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,4 - 0
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,1 - 1
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,0 - 2
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,3 - 0
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,4 - 1
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,1 - 0
334,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,2 - 2
335,34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,2 - 0
336,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,1 - 2
337,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,0 - 1
338,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,2 - 1
339,35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,1 - 1
340,35,20/04/2019 15:00,Emirates Stadium,Arsenal,Crystal Palace,6 - 2
341,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,2 - 2
342,35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,1 - 0
343,35,20/04/2019 15:00,London Stadium,West Ham,Leicester,2 - 1
344,35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,3 - 0
345,35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,3 - 2
346,35,21/04/2019 13:30,Goodison Park,Everton,Man Utd,0 - 1
347,35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,3 - 1
348,35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,0 - 1
349,35,24/04/2019 20:00,Old Trafford,Man Utd,Man City,2 - 0
350,36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,2 - 1
351,36,27/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,West Ham,2 - 0
