,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,27,10,1,83,24,59,91
1,2,Man City,38,19,19,28,4,6,92,30,62,88
3,3,Arsenal,38,19,19,23,7,8,76,46,30,77
5,4,Chelsea,38,19,19,22,8,8,74,45,29,75
2,5,Spurs,38,19,19,24,2,12,71,45,26,74
6,6,Wolves,38,19,19,17,9,12,53,45,8,73
4,7,Man Utd,38,19,19,19,11,8,68,50,18,70
11,8,Bournemouth,38,19,19,16,5,17,56,65,-9,55
9,9,Leicester,38,19,19,16,5,17,53,58,-5,54
7,10,Watford,38,19,19,13,10,15,48,57,-9,50
8,11,West Ham,38,19,19,14,7,17,50,60,-10,50
10,12,Everton,38,19,19,12,10,16,50,51,-1,47
13,13,Crystal Palace,38,19,19,12,7,19,46,52,-6,45
12,14,Newcastle,38,19,19,11,9,18,44,56,-12,45
14,15,Brighton,38,19,19,12,8,18,44,57,-13,44
15,16,Southampton,38,19,19,9,11,18,44,62,-18,41
16,17,Burnley,38,19,19,10,8,20,46,72,-26,38
17,18,Cardiff,38,19,19,9,6,23,34,73,-39,33
18,19,Fulham,38,19,19,9,5,24,40,76,-36,32
19,20,Huddersfield,38,19,19,3,6,29,24,72,-48,15
