,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,54.0,46.0,,,,,,,,,,,,,,,,,,
Man City,46.0,54.0,,,,,,,,,,,,,,,,,,
Man Utd,,,24.0,35.0,27.0,9.0,5.0,,,,,,,,,,,,,
Spurs,,,32.0,26.0,23.0,12.0,7.0,,,,,,,,,,,,,
Chelsea,,,9.0,9.0,22.0,34.0,26.0,,,,,,,,,,,,,
Wolves,,,1.0,5.0,12.0,27.0,49.0,6.0,,,,,,,,,,,,
Arsenal,,,34.0,25.0,16.0,17.0,8.0,,,,,,,,,,,,,
Leicester,,,,,,,,15.0,28.0,21.0,15.0,8.0,5.0,7.0,1.0,,,,,
Watford,,,,,,1.0,5.0,62.0,20.0,5.0,6.0,1.0,,,,,,,,
Everton,,,,,,,,3.0,23.0,26.0,21.0,12.0,5.0,9.0,1.0,,,,,
Newcastle,,,,,,,,1.0,4.0,6.0,9.0,18.0,18.0,22.0,15.0,7.0,,,,
West Ham,,,,,,,,10.0,12.0,28.0,22.0,7.0,13.0,8.0,,,,,,
Bournemouth,,,,,,,,3.0,11.0,9.0,15.0,17.0,25.0,8.0,5.0,5.0,2.0,,,
Brighton,,,,,,,,,1.0,1.0,2.0,11.0,15.0,18.0,22.0,20.0,8.0,2.0,,
Crystal Palace,,,,,,,,,1.0,3.0,7.0,18.0,14.0,17.0,24.0,14.0,2.0,,,
Burnley,,,,,,,,,,,,1.0,,3.0,6.0,17.0,58.0,15.0,,
Southampton,,,,,,,,,,1.0,3.0,7.0,5.0,8.0,26.0,35.0,14.0,1.0,,
Cardiff,,,,,,,,,,,,,,,,2.0,16.0,81.0,1.0,
Fulham,,,,,,,,,,,,,,,,,,1.0,85.0,14.0
Huddersfield,,,,,,,,,,,,,,,,,,,14.0,86.0
