,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1.0,Liverpool,38,19,19,28.8,5.95,3.25,90.54,25.9,64.64,92.35
1,2.0,Man City,38,19,19,27.3,6.17,4.53,87.71,27.74,59.97,88.07
2,3.0,Man Utd,38,19,19,23.18,6.18,8.64,74.07,45.43,28.64,76.76
3,4.0,Spurs,38,19,19,21.87,7.01,9.12,71.4,46.35,25.05,74.31
4,5.0,Chelsea,38,19,19,20.78,7.35,9.87,67.15,45.87,21.28,72.17
5,6.0,Wolves,38,19,19,19.3,7.9,10.8,62.09,46.4,15.69,70.01
6,7.0,Arsenal,38,19,19,16.99,8.77,12.24,55.85,47.74,8.11,66.6
7,8.0,Leicester,38,19,19,15.8,8.37,13.83,53.32,52.43,0.89,57.54
8,9.0,Watford,38,19,19,15.07,7.78,15.15,52.7,53.75,-1.05,54.18
9,10.0,Everton,38,19,19,14.14,8.08,15.78,50.5,53.96,-3.46,51.75
10,11.0,Newcastle,38,19,19,13.41,8.13,16.46,49.35,55.31,-5.96,49.8
11,12.0,West Ham,38,19,19,12.69,8.31,17.0,46.76,55.28,-8.52,48.11
12,13.0,Bournemouth,38,19,19,12.26,8.33,17.41,45.93,56.64,-10.71,46.81
13,14.0,Brighton,38,19,19,11.57,8.71,17.72,44.68,55.95,-11.27,45.06
14,15.0,Crystal Palace,38,19,19,10.82,9.08,18.1,43.09,56.98,-13.89,43.37
15,16.0,Burnley,38,19,19,10.11,9.14,18.75,42.59,60.68,-18.09,41.11
16,17.0,Southampton,38,19,19,9.88,8.04,20.08,42.04,67.61,-25.57,38.18
17,18.0,Cardiff,38,19,19,9.34,6.21,22.45,36.07,72.05,-35.98,34.26
18,19.0,Fulham,38,19,19,6.06,6.72,25.22,35.39,78.96,-43.57,24.9
19,20.0,Huddersfield,38,19,19,4.23,6.57,27.2,25.2,71.4,-46.2,19.26
