,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,30,7,1,84,25,59,97
1,2,Man City,38,19,19,28,6,4,93,30,63,90
4,3,Man Utd,38,19,19,24,8,6,73,48,25,82
2,4,Spurs,38,19,19,26,2,10,72,42,30,80
5,5,Chelsea,38,19,19,22,7,9,63,43,20,74
3,6,Arsenal,38,19,19,21,8,9,76,52,24,72
6,7,Wolves,38,19,19,15,11,12,49,46,3,69
7,8,Watford,38,19,19,16,9,13,54,54,0,58
9,9,Leicester,38,19,19,14,9,15,49,51,-2,52
8,10,West Ham,38,19,19,13,9,16,49,56,-7,49
10,11,Everton,38,19,19,12,11,15,52,52,0,48
13,12,Crystal Palace,38,19,19,12,9,17,47,51,-4,47
11,13,Bournemouth,38,19,19,13,5,20,52,68,-16,46
14,14,Brighton,38,19,19,12,8,18,44,55,-11,44
12,15,Newcastle,38,19,19,9,12,17,38,50,-12,42
15,16,Southampton,38,19,19,9,11,18,44,62,-18,41
16,17,Burnley,38,19,19,9,8,21,44,71,-27,35
17,18,Cardiff,38,19,19,8,4,26,35,74,-39,28
18,19,Fulham,38,19,19,5,7,26,37,81,-44,22
19,20,Huddersfield,38,19,19,3,7,28,25,69,-44,16
