,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,24,7,2,71,19,52,79
1,2,Man City,32,15,17,24,3,5,79,22,57,75
2,3,Spurs,32,17,15,22,1,9,59,32,27,67
3,4,Arsenal,32,15,17,19,7,6,67,41,26,64
4,5,Man Utd,32,17,15,19,7,6,63,42,21,64
5,6,Chelsea,32,16,16,17,7,8,50,35,15,58
6,7,Wolves,33,16,17,13,9,11,45,43,2,48
8,8,West Ham,32,15,17,13,6,13,43,47,-4,45
7,9,Watford,32,17,15,12,7,13,42,48,-6,43
9,10,Leicester,32,16,16,12,6,14,42,45,-3,42
10,11,Everton,32,16,16,11,7,14,44,44,0,40
14,12,Brighton,32,16,16,11,7,14,35,43,-8,40
11,13,Bournemouth,33,16,17,11,6,16,47,61,-14,39
13,14,Crystal Palace,32,16,16,10,6,16,38,43,-5,36
12,15,Newcastle,32,16,16,9,8,15,31,42,-11,35
17,16,Cardiff,33,16,17,10,4,19,31,59,-28,34
15,17,Southampton,33,17,16,8,9,16,36,52,-16,33
16,18,Burnley,33,17,16,9,6,18,40,64,-24,33
18,19,Fulham,32,16,16,4,6,22,29,70,-41,18
19,20,Huddersfield,32,16,16,3,5,24,19,59,-40,14
