,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,51.0,49.0,,,,,,,,,,,,,,,,,,
Man City,49.0,51.0,,,,,,,,,,,,,,,,,,
Spurs,,,47.0,27.0,17.0,9.0,,,,,,,,,,,,,,
Arsenal,,,25.0,33.0,30.0,12.0,,,,,,,,,,,,,,
Man Utd,,,20.0,28.0,29.0,23.0,,,,,,,,,,,,,,
Chelsea,,,8.0,12.0,24.0,56.0,,,,,,,,,,,,,,
Wolves,,,,,,,41.0,28.0,21.0,5.0,4.0,,,1.0,,,,,,
Watford,,,,,,,40.0,33.0,11.0,11.0,4.0,1.0,,,,,,,,
West Ham,,,,,,,2.0,5.0,17.0,27.0,22.0,18.0,6.0,3.0,,,,,,
Leicester,,,,,,,12.0,21.0,23.0,22.0,8.0,6.0,5.0,3.0,,,,,,
Everton,,,,,,,5.0,11.0,19.0,20.0,18.0,16.0,8.0,1.0,2.0,,,,,
Bournemouth,,,,,,,,1.0,3.0,4.0,16.0,23.0,19.0,15.0,14.0,5.0,,,,
Newcastle,,,,,,,,,2.0,3.0,5.0,7.0,13.0,17.0,24.0,22.0,6.0,1.0,,
Crystal Palace,,,,,,,,1.0,3.0,2.0,13.0,12.0,19.0,22.0,12.0,13.0,3.0,,,
Brighton,,,,,,,,,1.0,5.0,9.0,15.0,25.0,18.0,14.0,10.0,1.0,2.0,,
Southampton,,,,,,,,,,1.0,1.0,2.0,3.0,14.0,16.0,29.0,29.0,5.0,,
Burnley,,,,,,,,,,,,,1.0,5.0,15.0,18.0,46.0,15.0,,
Cardiff,,,,,,,,,,,,,1.0,1.0,3.0,3.0,15.0,75.0,2.0,
Fulham,,,,,,,,,,,,,,,,,,2.0,82.0,16.0
Huddersfield,,,,,,,,,,,,,,,,,,,16.0,84.0
