,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1.49,Liverpool,38,19,19,27.11,8.64,2.25,83.07,24.32,58.75,89.97
1,1.51,Man City,38,19,19,28.33,3.96,5.71,93.81,29.3,64.51,88.95
2,3.88,Spurs,38,19,19,23.69,3.01,11.3,70.0,42.24,27.76,74.08
4,4.29,Arsenal,38,19,19,21.56,7.89,8.55,76.37,50.15,26.22,72.57
3,4.55,Man Utd,38,19,19,20.97,8.97,8.06,72.04,49.71,22.33,71.88
5,5.28,Chelsea,38,19,19,20.51,7.9,9.59,62.64,43.07,19.57,69.43
7,8.08,Wolves,38,19,19,15.11,9.85,13.04,48.93,46.47,2.46,55.18
6,8.09,Watford,38,19,19,15.48,8.81,13.71,54.05,54.13,-0.08,55.25
8,9.46,Leicester,38,19,19,15.1,6.7,16.2,50.42,51.86,-1.44,52.0
9,10.32,Everton,38,19,19,13.74,8.66,15.6,53.03,51.89,1.14,49.88
11,10.55,West Ham,38,19,19,14.0,7.66,16.34,48.94,57.09,-8.15,49.66
10,12.74,Bournemouth,38,19,19,13.11,6.71,18.18,52.58,67.48,-14.9,46.04
12,13.36,Crystal Palace,38,19,19,12.02,7.97,18.01,46.85,51.54,-4.69,44.03
13,13.38,Brighton,38,19,19,12.1,8.19,17.71,42.63,54.13,-11.5,44.49
15,14.26,Newcastle,38,19,19,10.96,9.77,17.27,38.15,49.86,-11.71,42.65
16,15.67,Southampton,38,19,19,9.59,11.14,17.27,44.25,61.88,-17.63,39.91
14,16.48,Burnley,38,19,19,10.25,7.64,20.11,43.95,70.38,-26.43,38.39
17,17.63,Cardiff,38,19,19,9.57,5.92,22.51,35.09,72.11,-37.02,34.63
19,19.14,Fulham,38,19,19,6.09,6.57,25.34,36.83,81.08,-44.25,24.84
18,19.84,Huddersfield,38,19,19,4.46,6.54,27.0,24.1,69.04,-44.94,19.92
